iter	MultiClass
0	3.169195533
1	3.163197924
2	3.157472002
3	3.150816207
4	3.145366233
5	3.140547163
6	3.135699676
7	3.130859737
8	3.126994055
9	3.123038222
10	3.118913491
11	3.115609668
12	3.112225866
13	3.108901928
14	3.105908775
15	3.104234128
16	3.10191619
17	3.099074602
18	3.096871908
19	3.094234918
20	3.091699105
21	3.08960388
22	3.089349016
23	3.0871146
24	3.084536974
25	3.081301988
26	3.080607017
27	3.078712104
28	3.076925913
29	3.074624536
30	3.07268187
31	3.070435474
32	3.067495508
33	3.065585546
34	3.063870218
35	3.062186933
36	3.060634066
37	3.05868449
38	3.056686016
39	3.054647416
40	3.053221675
41	3.053085976
42	3.049911135
43	3.047988335
44	3.045863554
45	3.04356786
46	3.041820053
47	3.039966757
48	3.038330024
49	3.037005917
50	3.035752494
51	3.032869831
52	3.031334571
53	3.029685909
54	3.028347926
55	3.02709237
56	3.025488259
57	3.023608877
58	3.021582456
59	3.021562276
60	3.018782251
61	3.016851444
62	3.015231895
63	3.014467716
64	3.013341831
65	3.012455144
66	3.011046505
67	3.009656388
68	3.009564273
69	3.008539096
70	3.007154314
71	3.005857283
72	3.004505506
73	3.003106186
74	3.001819828
75	3.000128088
76	2.999225203
77	2.99768232
78	2.996077372
79	2.994170122
80	2.992729011
81	2.991505207
82	2.989774056
83	2.987946183
84	2.987082799
85	2.986409432
86	2.984687003
87	2.98360421
88	2.98279539
89	2.981834941
90	2.980270035
91	2.978159696
92	2.97725661
93	2.975800448
94	2.974083419
95	2.97340282
96	2.972429852
97	2.971496601
98	2.969438284
99	2.968277
100	2.966585603
101	2.965334485
102	2.96410505
103	2.963309366
104	2.961021557
105	2.95972394
106	2.958814582
107	2.957057924
108	2.955121248
109	2.954142465
110	2.951958604
111	2.95070451
112	2.949593357
113	2.948649447
114	2.947637433
115	2.946345469
116	2.944810677
117	2.943467536
118	2.942291578
119	2.941066521
120	2.939865729
121	2.938784505
122	2.937432025
123	2.9363249
124	2.934589739
125	2.933277812
126	2.931684642
127	2.930799864
128	2.929574291
129	2.928619034
130	2.927111463
131	2.925544359
132	2.924185433
133	2.923060429
134	2.921928649
135	2.92052754
136	2.919302084
137	2.918286726
138	2.91717511
139	2.916378102
140	2.915556004
141	2.914589054
142	2.913599277
143	2.912472606
144	2.91124694
145	2.910065658
146	2.908246016
147	2.906606433
148	2.905516909
149	2.903957275
150	2.90280461
151	2.901621308
152	2.900222125
153	2.898967592
154	2.897616244
155	2.896515178
156	2.895448266
157	2.894153904
158	2.892656164
159	2.89175861
160	2.890721037
161	2.889986872
162	2.888834897
163	2.887818284
164	2.886950209
165	2.885583132
166	2.883849468
167	2.883079293
168	2.881871056
169	2.880813097
170	2.879895386
171	2.878443899
172	2.877469867
173	2.875740202
174	2.874926355
175	2.874076492
176	2.872998788
177	2.87198348
