iter	Passed	Remaining
0	205	204859
1	263	131251
2	322	107073
3	390	97110
4	464	92502
5	540	89576
6	606	86087
7	673	83558
8	745	82044
9	811	80331
10	879	79092
11	949	78166
12	1025	77852
13	1103	77689
14	1177	77307
15	1238	76198
16	1301	75237
17	1362	74358
18	1435	74133
19	1510	74006
20	1585	73903
21	1663	73934
22	1708	72573
23	1812	73722
24	1912	74588
25	1990	74557
26	2037	73417
27	2102	72977
28	2179	72980
29	2260	73085
30	2337	73065
31	2409	72884
32	2472	72454
33	2538	72129
34	2601	71739
35	2663	71328
36	2727	70992
37	2793	70719
38	2856	70385
39	2918	70054
40	2980	69708
41	3009	68644
42	3069	68308
43	3130	68011
44	3194	67790
45	3255	67520
46	3317	67266
47	3382	67085
48	3445	66869
49	3507	66641
50	3566	66368
51	3628	66142
52	3689	65915
53	3751	65723
54	3815	65549
55	3877	65365
56	3939	65173
57	4002	65010
58	4061	64783
59	4090	64079
60	4149	63878
61	4213	63744
62	4275	63596
63	4335	63411
64	4401	63315
65	4463	63161
66	4524	63010
67	4586	62857
68	4621	62360
69	4683	62229
70	4753	62201
71	4816	62073
72	4877	61943
73	4941	61836
74	5004	61723
75	5065	61585
76	5126	61456
77	5192	61383
78	5253	61241
79	5314	61121
80	5379	61035
81	5437	60874
82	5502	60797
83	5565	60695
84	5626	60568
85	5687	60444
86	5752	60368
87	5817	60291
88	5877	60159
89	5941	60074
90	6005	59985
91	6070	59910
92	6133	59822
93	6197	59737
94	6261	59649
95	6319	59505
96	6378	59381
97	6437	59249
98	6496	59121
99	6554	58992
100	6614	58873
101	6673	58750
102	6735	58656
103	6792	58515
104	6849	58387
105	6910	58280
106	6967	58148
107	7025	58021
108	7086	57928
109	7143	57801
110	7199	57663
111	7258	57552
112	7322	57477
113	7384	57395
114	7441	57269
115	7499	57152
116	7557	57035
117	7618	56948
118	7676	56833
119	7741	56767
120	7799	56660
121	7860	56567
122	7920	56477
123	7977	56356
124	8036	56254
125	8093	56141
126	8154	56055
127	8212	55950
128	8271	55848
129	8329	55743
130	8394	55682
131	8452	55583
132	8510	55475
133	8567	55371
134	8625	55264
135	8685	55179
136	8750	55119
137	8813	55051
138	8872	54959
139	8931	54865
140	8990	54769
141	9044	54652
142	9103	54556
143	9162	54468
144	9220	54371
145	9278	54273
146	9337	54183
147	9419	54226
148	9483	54164
149	9544	54087
150	9603	53997
151	9665	53921
152	9725	53838
153	9784	53751
154	9843	53660
155	9909	53614
156	9966	53514
157	10023	53416
158	10083	53336
159	10140	53236
160	10198	53144
161	10259	53069
162	10317	52980
163	10376	52896
164	10440	52837
165	10503	52768
166	10560	52676
167	10620	52594
168	10678	52507
169	10739	52436
170	10799	52355
171	10857	52267
172	10920	52205
173	10979	52118
174	11035	52026
175	11092	51934
176	11150	51845
177	11209	51765
178	11266	51673
179	11326	51597
180	11386	51523
181	11443	51435
182	11503	51357
183	11563	51281
184	11622	51199
185	11681	51122
186	11745	51065
187	11807	50996
188	11864	50908
189	11928	50851
190	11985	50765
191	12041	50674
192	12099	50593
193	12158	50512
194	12216	50433
195	12274	50350
196	12330	50260
197	12391	50193
198	12452	50121
199	12513	50054
200	12573	49980
201	12632	49903
202	12690	49823
203	12752	49759
204	12811	49682
205	12868	49599
206	12930	49536
207	12989	49460
208	13049	49387
209	13107	49307
210	13166	49232
211	13223	49151
212	13285	49087
213	13345	49015
214	13403	48938
215	13461	48860
216	13519	48783
217	13579	48711
218	13638	48637
219	13699	48572
220	13758	48498
221	13818	48426
222	13877	48351
223	13939	48288
224	13998	48216
225	14053	48129
226	14112	48055
227	14173	47989
228	14234	47924
229	14292	47849
230	14356	47791
231	14416	47723
232	14480	47667
233	14538	47591
234	14598	47523
235	14655	47445
236	14721	47393
