,age,gender,time,type_route,price,difficulty,accompaniment,transport,route_id
0,35-45,Hombre,3.5,Literaria,Gratis,Baja,Pareja,Pie,Contes Blasco Ibañez – Ruta 1
1,35-45,Hombre,1.5,Historica,+50 Euros,Alta,Amigos,Pie,Glorieta-Santa Catalina
2,+45,Prefiero no decirlo,3.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
3,35-45,Prefiero no decirlo,5.5,Patrimonio,Gratis,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
4,+45,Hombre,3.5,Historica,+50 Euros,Baja,Pareja,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
5,0-18,Prefiero no decirlo,7.5,Historica,1-50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
6,0-18,Mujer,1.5,Patrimonio,+50 Euros,Baja,Familia,Pie,Sant Agustí - Portal Nou
7,0-18,Mujer,7.5,Turistica,+50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
8,18-35,Mujer,5.5,Literaria,Gratis,Baja,Solo,Bicicleta,Arbres monumentals i singulars
9,18-35,Mujer,1.5,Historica,1-50 Euros,Baja,Amigos,Pie,Ruta Valencia en la Memòria
10,+45,Hombre,3.5,Turistica,1-50 Euros,Baja,Familia,Pie,Arbres: La volta al món
11,35-45,Prefiero no decirlo,3.5,Historica,1-50 Euros,Baja,Solo,Pie,Ruta dels Pecats a l'entorn del Mercat Central
12,0-18,Prefiero no decirlo,1.5,Patrimonio,Gratis,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
13,18-35,Hombre,3.5,Historica,+50 Euros,Baja,Pareja,Pie,Ruta Valencia en la Memòria
14,+45,Mujer,3.5,Turistica,Gratis,Baja,Amigos,Bicicleta,Arbres: La volta al món
15,+45,Mujer,7.5,Historica,1-50 Euros,Alta,Pareja,Bicicleta,Trinitat - L'Almodí
16,18-35,Hombre,5.5,Turistica,Gratis,Baja,Pareja,Pie,Arbres: Els indians
17,+45,Prefiero no decirlo,5.5,Literaria,Gratis,Baja,Pareja,Pie,Contes Blasco Ibañez – Ruta 1
18,+45,Mujer,1.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Entre Naranjos
19,35-45,Hombre,3.5,Patrimonio,+50 Euros,Baja,Familia,Bicicleta,Torres de Quart - Temple
20,35-45,Mujer,5.5,Literaria,1-50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
21,18-35,Mujer,1.5,Literaria,Gratis,Baja,Familia,Bicicleta,Arbres monumentals i singulars
22,18-35,Hombre,1.5,Historica,+50 Euros,Alta,Solo,Bicicleta,Ruta València amb bicicleta
23,+45,Mujer,7.5,Patrimonio,Gratis,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
24,35-45,Prefiero no decirlo,7.5,Literaria,+50 Euros,Alta,Solo,Bicicleta,Glorieta-Santa Catalina
25,18-35,Hombre,1.5,Patrimonio,+50 Euros,Alta,Amigos,Pie,Sant Agustí – Pont de Fusta
26,0-18,Hombre,5.5,Patrimonio,Gratis,Alta,Solo,Pie,Glorieta-Santa Catalina
27,35-45,Mujer,3.5,Literaria,+50 Euros,Alta,Solo,Pie,Glorieta-Santa Catalina
28,0-18,Hombre,1.5,Patrimonio,Gratis,Baja,Pareja,Bicicleta,Sant Agustí - Portal Nou
29,+45,Prefiero no decirlo,1.5,Patrimonio,Gratis,Alta,Solo,Pie,Trinitat - L'Almodí
30,+45,Prefiero no decirlo,7.5,Literaria,Gratis,Baja,Amigos,Bicicleta,Contes Blasco Ibañez – Ruta 1
31,+45,Hombre,3.5,Literaria,Gratis,Alta,Familia,Pie,Trinitat - L'Almodí
32,18-35,Mujer,5.5,Historica,1-50 Euros,Alta,Familia,Bicicleta,Ruta València amb bicicleta
33,+45,Mujer,3.5,Turistica,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
34,18-35,Hombre,5.5,Historica,1-50 Euros,Alta,Familia,Pie,Ruta de la Seda
35,18-35,Prefiero no decirlo,3.5,Literaria,Gratis,Baja,Pareja,Bicicleta,Ruta Cultural Anell Ciclista
36,18-35,Prefiero no decirlo,5.5,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
37,0-18,Prefiero no decirlo,7.5,Turistica,Gratis,Alta,Familia,Bicicleta,Trinitat - L'Almodí
38,35-45,Prefiero no decirlo,7.5,Historica,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
39,35-45,Prefiero no decirlo,5.5,Turistica,+50 Euros,Baja,Solo,Bicicleta,Arbres: La volta al món
