,time,price,route_id,age_SimpleImputer(strategy='mode'),gender_Hombre,gender_Mujer,gender_Prefiero no decirlo,type_Historica,type_Literaria,type_Patrimonio,type_Turistica,diff_Alta,diff_Baja,comp_Amigos,comp_Familia,comp_Pareja,comp_Solo,trans_Bicicleta,trans_Pie
0,3.5,1,Contes Blasco Ibañez – Ruta 1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1,1.5,3,Trinitat - L'Almodí,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2,3.5,3,Glorieta-Santa Catalina,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
3,5.5,1,Glorieta-Santa Catalina,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
4,3.5,3,Ruta dels Pecats a l'entorn del Mercat Central,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
5,7.5,2,Trinitat - L'Almodí,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
6,1.5,3,Sant Agustí - Portal Nou,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
7,7.5,3,Trinitat - L'Almodí,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
8,5.5,1,Ruta Cultural Anell Ciclista,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
9,1.5,2,Ruta Valencia en la Memòria,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
10,3.5,2,Arbres: La volta al món,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
11,3.5,2,Ruta dels Pecats a l'entorn del Mercat Central,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
12,1.5,1,Glorieta-Santa Catalina,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
13,3.5,3,Ruta Valencia en la Memòria,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
14,3.5,1,Arbres: La volta al món,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
15,7.5,2,Trinitat - L'Almodí,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
16,5.5,1,Arbres: Els indians,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
17,5.5,1,Contes Blasco Ibañez – Ruta 1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
18,1.5,1,Contes Blasco Ibañez – Ruta 1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
19,3.5,3,Torres de Quart - Temple,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
20,5.5,2,Trinitat - L'Almodí,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
21,1.5,1,Ruta Cultural Anell Ciclista,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
22,1.5,3,Ruta València amb bicicleta,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
23,7.5,1,Glorieta-Santa Catalina,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
