iter	MultiClass
0	2.043504426
1	1.735387949
2	1.530700405
3	1.37947834
4	1.252859279
5	1.148517788
6	1.068156274
7	1.000715434
8	0.940420575
9	0.8844534228
10	0.8411258906
11	0.7949631364
12	0.7560007074
13	0.722281196
14	0.6943244365
15	0.6707341388
16	0.6472503175
17	0.6267784969
18	0.609086902
19	0.5946469772
20	0.5802006494
21	0.5663539034
22	0.5549124721
23	0.5438324564
24	0.5337251149
25	0.5246315393
26	0.5161683445
27	0.5090656366
28	0.5030247133
29	0.4966663656
30	0.4909612969
31	0.4867497996
32	0.4817303014
33	0.4776020899
34	0.474933554
35	0.4713444527
36	0.4682001543
37	0.4650800318
38	0.4628240706
39	0.4607373158
40	0.4585536101
41	0.4566517603
42	0.4551678135
43	0.4532643272
44	0.4514532867
45	0.450066666
46	0.4487816563
47	0.4473531721
48	0.4460812741
49	0.4447377546
50	0.4439553749
51	0.4431428555
52	0.4423078134
53	0.4412702743
54	0.4400615811
55	0.4391385223
56	0.4381032243
57	0.4373113836
58	0.4364989796
59	0.4357437554
60	0.4349041289
61	0.4341593702
62	0.4334169642
63	0.4329259428
64	0.4323371897
65	0.4318240173
66	0.4312271902
67	0.4305222554
68	0.4299610636
69	0.4292376591
70	0.4285801572
71	0.4280896262
72	0.4275782084
73	0.4270207074
74	0.4264590467
75	0.4259547993
76	0.4255495959
77	0.4249352536
78	0.4245184446
79	0.424052969
80	0.4234583682
81	0.4230798812
82	0.4226272113
83	0.4222439674
84	0.4217781177
85	0.4214142455
86	0.4211006061
87	0.4207420434
88	0.4204539599
89	0.4199250948
90	0.4195675956
91	0.4192510227
92	0.4189093047
93	0.4186438686
94	0.4184116883
95	0.4179971889
96	0.4177072109
97	0.4175169919
98	0.417133985
99	0.4168501587
100	0.4164856377
101	0.4162654895
102	0.4159785441
103	0.4157348987
104	0.4156951526
105	0.4154446853
106	0.4151467154
107	0.4148388967
108	0.4145394869
109	0.4142738353
110	0.4140104899
111	0.4137597854
112	0.4134584992
113	0.4132974064
114	0.4130849085
115	0.4129092378
116	0.4126498701
117	0.4124309552
118	0.4122743732
119	0.4119979114
120	0.4117513504
121	0.4115110894
122	0.4113669846
123	0.411126327
124	0.4109296281
125	0.4107556431
126	0.4106039947
127	0.4104505353
128	0.4103193742
129	0.4101267104
130	0.4099645658
131	0.4097851769
132	0.4096141023
133	0.4094534554
134	0.4092549864
135	0.4090981026
136	0.4089140002
137	0.4087385155
138	0.4085898735
139	0.40838612
140	0.4082248621
141	0.4080455274
142	0.4078918549
143	0.4077108127
144	0.4076023611
145	0.4074194615
146	0.4072771503
147	0.4071193318
148	0.4069205327
149	0.4067490927
150	0.4066164358
151	0.4064649388
152	0.4063649713
153	0.4061872599
154	0.4059880696
155	0.4058207749
156	0.4056966492
157	0.4055419027
158	0.4053834558
159	0.4052581665
160	0.4051381682
161	0.4050316914
162	0.4049062564
163	0.4047891105
164	0.4046494032
165	0.4045337777
166	0.4044167936
167	0.4042764295
168	0.4041760975
169	0.4039936367
170	0.403910945
171	0.403810321
172	0.4037076622
173	0.4036090631
174	0.403482742
175	0.4033873791
176	0.4032695681
177	0.4030565738
178	0.4029588303
179	0.4028462219
180	0.4027618839
181	0.4026304072
182	0.4024880797
183	0.4023938775
184	0.4022517805
185	0.4021798356
186	0.4019819853
187	0.4019092497
188	0.4017981424
189	0.4016889792
190	0.4015930549
191	0.4014933115
192	0.4013791414
193	0.4012240372
194	0.401131726
195	0.4010760447
196	0.4009647572
197	0.4008864157
198	0.4008109788
199	0.4006960895
200	0.4005947003
201	0.4004489311
202	0.4003480996
203	0.4002891667
204	0.400224012
205	0.4001040856
206	0.400041315
207	0.3999214035
208	0.3998488754
209	0.3996236433
210	0.3995217821
211	0.3994342212
212	0.3993567158
213	0.3992677214
