age,gender,time,type_route,price,difficulty,accompaniment,transport,route
18-35,hombre,7.5,turistica,2,alta,pareja,a pie,Ruta pel Centre Històric
0-18,mujer,5.5,patrimonio,2,baja,solo,bicicleta,Ruta Carrer Russafa - la Llotja
+45,otro,1.5,historica,2,alta,pareja,bicicleta,Trinitat - L'Almodí
+45,otro,5.5,turistica,3,baja,pareja,a pie,Arbres: La volta al món
0-18,hombre,1.5,historica,3,baja,amigos,a pie,Ruta dels Pecats a l'entorn del Mercat Central
18-35,mujer,1.5,patrimonio,3,alta,pareja,bicicleta,Ruta València amb bicicleta
35-45,hombre,1.5,turistica,2,alta,solo,a pie,Glorieta-Santa Catalina
18-35,otro,1.5,turistica,1,baja,pareja,a pie,Arbres: Un passeig per l’Albereda
+45,hombre,1.5,patrimonio,3,alta,solo,bicicleta,Trinitat - L'Almodí
35-45,otro,7.5,turistica,3,baja,pareja,bicicleta,Arbres: La volta al món
18-35,otro,7.5,turistica,1,alta,solo,bicicleta,Ruta València amb bicicleta
18-35,otro,5.5,historica,2,alta,solo,a pie,Ruta recinte enmurallat d'època islàmica
+45,otro,1.5,turistica,2,alta,familia,a pie,Trinitat - L'Almodí
+45,otro,1.5,literaria,3,alta,pareja,a pie,Trinitat - L'Almodí
+45,otro,7.5,patrimonio,3,baja,familia,bicicleta,Torres de Quart - Temple
0-18,mujer,7.5,patrimonio,1,baja,amigos,a pie,Torres de Quart - Temple
18-35,otro,5.5,patrimonio,1,alta,amigos,bicicleta,Ruta València amb bicicleta
18-35,otro,5.5,turistica,3,alta,solo,a pie,Ruta pel Centre Històric
18-35,otro,3.5,historica,2,alta,solo,bicicleta,Ruta València amb bicicleta
18-35,mujer,5.5,patrimonio,2,baja,solo,bicicleta,Arbres monumentals i singulars
+45,otro,1.5,literaria,3,alta,pareja,a pie,Trinitat - L'Almodí
18-35,otro,1.5,historica,1,alta,amigos,bicicleta,Ruta València amb bicicleta
18-35,hombre,7.5,literaria,1,baja,amigos,a pie,Contes Blasco Ibañez – Ruta 2
35-45,otro,3.5,patrimonio,3,baja,pareja,a pie,Ruta Carrer Russafa - la Llotja
35-45,otro,3.5,literaria,2,alta,solo,bicicleta,Trinitat - L'Almodí
35-45,mujer,7.5,historica,3,baja,pareja,bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
0-18,hombre,3.5,historica,3,baja,pareja,a pie,Ruta dels Pecats a l'entorn del Mercat Central
+45,otro,5.5,patrimonio,1,baja,familia,a pie,Ruta Carrer Russafa - la Llotja
0-18,mujer,1.5,literaria,2,baja,familia,bicicleta,Entre Naranjos
35-45,otro,7.5,turistica,2,alta,familia,bicicleta,Glorieta-Santa Catalina
0-18,otro,7.5,literaria,3,baja,solo,a pie,Contes Blasco Ibañez – Ruta 1
18-35,otro,1.5,historica,2,baja,amigos,a pie,Ruta Valencia en la Memòria
0-18,otro,5.5,patrimonio,2,alta,pareja,a pie,Glorieta-Santa Catalina
+45,mujer,5.5,literaria,1,alta,pareja,bicicleta,Trinitat - L'Almodí
18-35,otro,7.5,literaria,1,alta,familia,a pie,Ruta de la Seda
35-45,hombre,1.5,literaria,2,alta,pareja,a pie,Glorieta-Santa Catalina
+45,hombre,3.5,historica,2,alta,pareja,a pie,Glorieta-Santa Catalina
35-45,mujer,3.5,patrimonio,1,baja,solo,a pie,Ruta Carrer Russafa - la Llotja
35-45,mujer,3.5,turistica,2,alta,solo,bicicleta,Trinitat - L'Almodí
+45,mujer,5.5,literaria,3,alta,solo,bicicleta,Trinitat - L'Almodí
35-45,hombre,5.5,patrimonio,1,alta,familia,a pie,Trinitat - L'Almodí
0-18,hombre,3.5,turistica,2,baja,familia,bicicleta,Arbres: La volta al món
0-18,mujer,5.5,turistica,2,baja,amigos,a pie,Arbres: La volta al món
