,age,gender,time,type_route,price,difficulty,accompaniment,transport,route_id
0,18-35,Hombre,1.5,Patrimonio,1-50 Euros,Baja,Amigos,A Pie,Serrans - Palau de la Generalitat
1,+45,Otro,5.5,Patrimonio,Gratis,Baja,Amigos,A Pie,Ruta Carrer Russafa - la Llotja
2,18-35,Mujer,3.5,Patrimonio,Gratis,Alta,Pareja,A Pie,Sant Agustí – Pont de Fusta
3,0-18,Hombre,1.5,Patrimonio,+50 Euros,Alta,Pareja,A Pie,Trinitat - L'Almodí
4,0-18,Otro,7.5,Historica,Gratis,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
5,35-45,Otro,7.5,Literaria,Gratis,Baja,Pareja,Bicicleta,Contes Blasco Ibañez – Ruta 1
6,+45,Otro,3.5,Patrimonio,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
7,+45,Hombre,3.5,Literaria,1-50 Euros,Baja,Familia,A Pie,Contes Blasco Ibañez – Ruta 1
8,18-35,Mujer,5.5,Turistica,1-50 Euros,Alta,Amigos,A Pie,Ruta pel Centre Històric
9,35-45,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Solo,Bicicleta,Trinitat - L'Almodí
10,35-45,Hombre,5.5,Turistica,+50 Euros,Baja,Amigos,Bicicleta,Arbres: La volta al món
11,0-18,Otro,1.5,Patrimonio,+50 Euros,Alta,Familia,A Pie,Trinitat - L'Almodí
12,18-35,Hombre,7.5,Patrimonio,+50 Euros,Alta,Solo,A Pie,Jardins del Reial - Glorieta
13,18-35,Otro,5.5,Literaria,Gratis,Alta,Amigos,Bicicleta,Ruta València amb bicicleta
14,0-18,Otro,1.5,Patrimonio,+50 Euros,Alta,Amigos,Bicicleta,Trinitat - L'Almodí
15,+45,Otro,3.5,Historica,+50 Euros,Baja,Solo,Bicicleta,Ruta dels Pecats a l'entorn del Mercat Central
16,35-45,Hombre,1.5,Turistica,+50 Euros,Baja,Pareja,Bicicleta,Arbres: La volta al món
17,0-18,Hombre,3.5,Turistica,1-50 Euros,Alta,Familia,Bicicleta,Trinitat - L'Almodí
18,+45,Mujer,7.5,Patrimonio,1-50 Euros,Alta,Solo,A Pie,Glorieta-Santa Catalina
19,18-35,Mujer,7.5,Historica,Gratis,Baja,Solo,Bicicleta,Ruta Cultural Anell Ciclista
20,35-45,Mujer,5.5,Turistica,1-50 Euros,Baja,Familia,Bicicleta,Arbres: La volta al món
21,35-45,Otro,1.5,Historica,Gratis,Alta,Solo,Bicicleta,Trinitat - L'Almodí
22,18-35,Mujer,7.5,Literaria,Gratis,Alta,Pareja,Bicicleta,Ruta València amb bicicleta
23,+45,Hombre,5.5,Literaria,+50 Euros,Baja,Familia,A Pie,Entre Naranjos
24,18-35,Hombre,7.5,Patrimonio,+50 Euros,Baja,Pareja,Bicicleta,Ruta Cultural Anell Ciclista
25,0-18,Hombre,1.5,Patrimonio,+50 Euros,Alta,Familia,Bicicleta,Glorieta-Santa Catalina
26,+45,Otro,7.5,Literaria,+50 Euros,Baja,Pareja,Bicicleta,Entre Naranjos
27,+45,Otro,5.5,Historica,+50 Euros,Baja,Familia,A Pie,Ruta dels Pecats a l'entorn del Mercat Central
28,35-45,Hombre,3.5,Patrimonio,1-50 Euros,Baja,Familia,A Pie,Torres de Quart - Temple
29,0-18,Hombre,5.5,Historica,+50 Euros,Alta,Pareja,Bicicleta,Glorieta-Santa Catalina
30,0-18,Mujer,7.5,Literaria,Gratis,Baja,Pareja,A Pie,Contes Blasco Ibañez – Ruta 1
